"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029"
"1007","11",53,1,NA,NA,NA,NA,NA,NA,NA,0.161237882395643,0.177668023963038,0.154760114296534,0.0717972942017311,-0.0097558685245871,-0.0326091124865826,-0.0277440038386154,-0.0600185749935793,-0.12297170345359,-0.146369191363554,-0.0946018474287951,-0.00174037523481818,0.0882203267228476,0.159235641561565,0.192124933091268,0.154756468972374,0.0556053969473447,-0.0364033345533472,-0.0679005228622263,-0.0690088289963255,-0.100450256646799,-0.150800611896573,-0.139429525643823,-0.0261677497702655,0.125942627517769,0.214774376684027,0.197327679842005,0.108946421484432,0.0119689342910463,-0.0520399066524941,-0.0768168345253382,-0.0840943017344897,-0.0980917781627979,-0.113464200191174,-0.0951937452127045,-0.0218584710640917,0.080122329479503,0.158153744288774,0.1799862375286,0.146344183869209,0.0724332555100982,-0.0195569454172442,-0.0974678928052519,-0.136281797933031,-0.140018189314036,-0.125244774030687,-0.0851840787567197,-4.80321728852928e-05,0.112231744935954,0.191936849320044,0.205231677966211,0.186598380441104
"1008","12",53,1,NA,NA,NA,NA,NA,NA,NA,-0.0400036826691321,-0.0404947467910901,-0.0442826870335307,-0.0487788245698628,-0.0442562310769741,-0.0248303735623923,0.00245599476607117,0.0239772415066235,0.0326579826567086,0.0310108314701425,0.0239202792616837,0.0141452796660821,0.00443856732540771,-0.00170829025521924,-0.00339228418060356,-0.00278705989000394,-0.000860176521812805,0.00396224282165081,0.0112319695370133,0.0163021917594759,0.0155726326478971,0.0111976638399436,0.00759577597920558,0.00575717216451221,0.00453470844734438,0.00523516964987358,0.00993189394348648,0.015873869315213,0.016902338617782,0.0116425048994087,0.00575724114230769,0.00386042340836745,0.00305911167188544,-0.00232902664788903,-0.0125094996167623,-0.0222947080237044,-0.0275749742086664,-0.0279054959590748,-0.0237143029791038,-0.0150806958821905,-0.00362737743631447,0.00780416282942831,0.0182521001846192,0.0286180390432573,0.0376867916226002,0.0410514709088996,0.0355707654980899,0.0226802523966472,0.0059810550594035,-0.0117928147271535,-0.0275027119568694,-0.0366086015653013
"1009","13",53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0311710449565998,0.0839953473283173,0.126225316222056,0.0960349566413785,0.0056347092412512,-0.0749607189654844,-0.0933806524111991,-0.0569080375037281,-0.007610805152648,0.0217087264635971
"101","14",53,1,NA,NA,NA,NA,NA,NA,NA,-0.0268232565658799,-0.0195938151039785,-0.0130095666114363,-0.0119189964294826,-0.00903940902523193,0.00372537894777425,0.0189965620656491,0.0193197004932446,0.000230205164402975,-0.0207005233408988,-0.0236656298133218,-0.0106767457127495,-0.00234680988261049,-0.0114795641092673,-0.0271467004493435,-0.0278622251462237,-0.00556809339955011,0.0275754982196577,0.0524165656215625,0.0568697757392793,0.0389892823400664,0.00533683727393575,-0.0289420838603638,-0.0444250723874862,-0.0310425104876453,0.000482193222383298,0.0252815403729585,0.0252557405549121,0.00237162793012002,-0.0276198303300093,-0.0491784580912631,-0.0528173049332632,-0.0346916312005279,-1.07147729444534e-05,0.0337118130537095,0.0464224906486641,0.0338912903540773,0.0119407422631843,-0.00167276526463533,-0.00490125937758901,-0.00582788991217598,-0.005667774557506,0.00126283750521017,0.011367096953224,0.009683487418231,-0.00829052958964915,-0.0231037135370333,-0.0128862567438088,0.0156744294697475,0.0327981518179699,0.02402979913591,0.00789962517037068
"1010","15",53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0732400460102627,-0.0290125295398249,0.0254969300527406,0.0496919822913298,0.037275124254869,0.0114129098598756,-0.0104865781691501,-0.0308267085695886,-0.0534984251004673,-0.0696626545476682
"1011","16",53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0701875272814561,0.0335444392052986,0.134894109304285,0.126534078916063,0.0232008665510834,-0.0707213528201809,-0.0894028110238974,-0.0590820509208221,-0.034126185615367,-0.0285649637161529
"1012","17",53,1,NA,NA,NA,NA,NA,NA,NA,-0.060036822426552,-0.060568437101115,-0.0690840183847183,-0.0779498187151575,-0.0621550673367066,-0.012589972903194,0.0420800061145186,0.0632441340407213,0.044986691094572,0.0136326920746841,-0.00959839903343007,-0.026496772416102,-0.0426663010725996,-0.0519844550905366,-0.0497401238530573,-0.0442781631389244,-0.0404373751602167,-0.0232923583920557,0.021556026554973,0.0752997897947119,0.0949828008286036,0.0615071735078214,0.0035533559311467,-0.0349187069504255,-0.0389423730327247,-0.0243968539235828,-0.00835809777373209,0.00420673968665009,0.00894643483887281,-0.000632769414977252,-0.0170604828947583,-0.0167187510476525,0.0114759916889584,0.0432892282259252,0.0419631842981552,0.00438906521002824,-0.0299930210157164,-0.023335745972441,0.017205347161777,0.0502934398805972,0.0500651369340699,0.0329067064558903,0.0320720780487078,0.0550903354753294,0.0748192493990767,0.060628971037469,0.0112350280408973,-0.0450164064681076,-0.0774269448151836,-0.077368407368503,-0.0596102294889242,-0.0452946780073156
"1013","18",53,1,NA,NA,NA,NA,NA,NA,NA,-0.0278161205711358,-0.0281222456653523,-0.0276596077942468,-0.0249084318160639,-0.0193743327008611,-0.0124739086516816,-0.00660841170370752,-0.00320178651955394,-0.00192529021288967,-0.0018693491379338,-0.00275921229878517,-0.00443224403677767,-0.00572510387202119,-0.00507609354725869,-0.00240123923310964,0.000630994918103145,0.00268971858670519,0.00426172459920959,0.00623575946864197,0.00781706359177226,0.00729055590319749,0.00473772524775162,0.00238030512551468,0.00154564031335602,0.000611801105213194,-0.00278331228104323,-0.0083239840708369,-0.0133963581461747,-0.0165740252743816,-0.0188059239035834,-0.0205579871838648,-0.0196262327109251,-0.0134998082451752,-0.0031014321346412,0.00771455238634156,0.0164845380889784,0.0243564985270859,0.0334249890488785,0.0432436055385272,0.0511461633451167,0.0552186608535381,0.055558462750029,0.0527917239679607,0.0467431539417271,0.0370831790453725,0.0244939101175832,0.0106619743180769,-0.00242079905782533,-0.012870405539785,-0.019376296998395,-0.0220445876781938,-0.0225197716865235
"1014","19",53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010431789064054,0.0105107822037875,0.0103464869764103,0.00971230188976935,0.0087892529267608,0.00790671632105822,0.00713091112173747,0.00629959454992557,0.00536448570488091,0.00446900895107616,0.00368208021948169,0.00285951503729032,0.0018491718345035,0.000688684159674713,-0.000502499449360982,-0.00171542676642589,-0.0030001285878638,-0.00427270706362926,-0.00530486519526097,-0.00590592684244196,-0.00602269842144754,-0.00566579228232178,-0.00485053371756594,-0.00365049901410264,-0.00221804603063269,-0.000677952978919372,0.000957330466749173,0.00270309404258118,0.00445054265653133,0.00594948540654427,0.00694812696424951,0.00734653427070753,0.00725657321666429,0.00695417058747516,0.0067317503014237
"1015","20",53,1,NA,NA,NA,NA,NA,NA,NA,-0.0297667980279868,-0.0565233014702895,-0.0890213812074365,-0.0931263291938444,-0.0536617894558544,0.00957196427058626,0.0608228850150874,0.0797548451493229,0.0704846164985864,0.0455422400558683,0.0129621529057173,-0.0197574707051285,-0.0425518071360522,-0.0521470817162957,-0.0556789051223938,-0.0557028579522227,-0.0399454658101401,0.000921671064808116,0.0505501670528221,0.0781243860108201,0.072561935072442,0.0502830238629639,0.0266377228746251,-0.00243132823260828,-0.0413116744907072,-0.0743561600842506,-0.0813737549556981,-0.0637634559004709,-0.0374963377793343,-0.00667678314854925,0.0345696767413886,0.0745699954249446,0.0829513584816342,0.047914541073788,-0.00260647794218816,-0.0315143678521719,-0.0329116058301806,-0.0275141214202517,-0.0277334816738675,-0.0260317083750201,-0.0141129021860431,0.00599643477197809,0.0322034001464702,0.065251551199482,0.0937725534138671,0.0922851768533808,0.048097355378379,-0.0170072641087264,-0.0642685511805663,-0.0748268793386733,-0.0616536685313154,-0.0488010646479538
